month,country,attacks,covid_cases
2020-10,Mexico,2924,79781
2020-11,Mexico,5019,227507
2020-12,Mexico,3439,777665
2021-01,Mexico,5250,357902
2021-02,Mexico,5151,319717
2021-03,Mexico,5844,289790
2020-01,Australia,1096,721777
2020-02,Australia,2764,888225
2020-03,Australia,3853,305119
2020-04,Australia,5631,398827
2020-05,Australia,6871,189751
2020-06,Australia,8370,619992
2020-07,Australia,10995,744583
2020-08,Australia,13022,150143
2020-09,Australia,12800,537226
2020-10,Australia,13957,5000
2020-11,Australia,16796,356754
2020-12,Australia,19545,500522
2021-01,Australia,19944,505999
2021-02,Australia,22407,152836
2021-03,Australia,14209,825926
